transaction_date,user_id,belanja,hiburan,kesehatan,kos_sewa,lainnya,makanan,pendidikan,tagihan,transportasi
2025-06,user_0003,775000,351000,312000,882000,423000,1851000,533000,736000,535000
2025-06,user_0005,218000,1004000,63000,130000,75000,472000,130000,100000,258000
2025-06,user_0009,213000,165000,76000,163000,147000,614000,207000,250000,238000
2025-06,user_0010,281000,191000,67000,180000,101000,710000,193000,150000,290000
2025-06,user_0011,157000,121000,64000,116000,81000,466000,153000,163000,236000
2025-06,user_0013,80000,70000,29000,56000,50000,231000,63000,200000,96000
2025-06,user_0014,159000,165000,58000,108000,111000,554000,121000,100000,182000
2025-06,user_0015,237000,173000,93000,137000,143000,580000,184000,150000,254000
2025-06,user_0016,136000,102000,42000,70000,57000,275000,96000,100000,142000
2025-06,user_0018,131000,131000,52000,121000,98000,390000,113000,250000,206000
2025-06,user_0020,307000,217000,122000,205000,127000,858000,286000,297000,431000
2025-06,user_0021,380000,343000,105000,262000,168000,913000,282000,222000,351000
2025-06,user_0022,1462000,271000,104000,186000,145000,828000,209000,208000,347000
2025-06,user_0023,1369000,114000,54000,98000,90000,415000,109000,102000,203000
2025-06,user_0024,205000,149000,62000,124000,83000,465000,151000,129000,210000
2025-06,user_0025,204000,178000,71000,156000,104000,738000,215000,266000,287000
2025-06,user_0026,280000,194000,90000,201000,103000,565000,221000,156000,325000
2025-06,user_0027,224000,164000,64000,162000,157000,638000,157000,200000,284000
2025-06,user_0029,112000,90000,40000,101000,52000,335000,106000,200000,177000
2025-06,user_0030,181000,153000,56000,135000,118000,482000,152000,250000,210000
2025-06,user_0031,301000,216000,111000,217000,169000,749000,262000,208000,413000
2025-06,user_0032,184000,157000,88000,147000,137000,638000,144000,200000,277000
2025-06,user_0033,295000,277000,104000,216000,184000,846000,254000,233000,401000
2025-06,user_0034,72000,54000,25000,62000,43000,261000,70000,150000,111000
2025-06,user_0035,252000,165000,83000,174000,128000,575000,193000,250000,269000
2025-06,user_0036,221000,211000,99000,190000,122000,695000,214000,281000,397000
2025-06,user_0037,167000,110000,64000,106000,85000,500000,113000,200000,242000
2025-06,user_0038,260000,263000,77000,206000,110000,840000,242000,200000,268000
2025-06,user_0039,395000,275000,130000,264000,143000,1019000,244000,222000,1115000
2025-06,user_0040,250000,256000,95000,148000,115000,585000,172000,250000,323000
2025-06,user_0041,68000,71000,28000,51000,30000,203000,49000,250000,86000
2025-06,user_0042,324000,229000,115000,220000,143000,741000,219000,150000,329000
2025-06,user_0043,186000,211000,63000,160000,85000,671000,178000,250000,245000
2025-06,user_0044,135000,115000,40000,95000,45000,328000,104000,250000,144000
2025-06,user_0046,362000,307000,96000,237000,123000,820000,266000,168000,439000
2025-06,user_0048,158000,152000,54000,103000,73000,359000,127000,250000,170000
2025-06,user_0049,221000,245000,100000,163000,97000,638000,181000,200000,325000
2025-06,user_0051,204000,162000,74000,116000,107000,441000,151000,104000,267000
2025-06,user_0052,151000,117000,53000,100000,116000,439000,113000,150000,188000
2025-06,user_0053,85000,70000,38000,54000,61000,290000,73000,150000,102000
2025-06,user_0054,94000,90000,34000,60000,50000,242000,77000,200000,126000
2025-06,user_0055,242000,250000,96000,172000,161000,795000,267000,165000,378000
2025-06,user_0056,193000,118000,70000,136000,108000,545000,157000,250000,221000
2025-06,user_0057,90000,95000,31000,73000,33000,257000,81000,200000,117000
2025-06,user_0059,218000,168000,75000,151000,152000,607000,187000,250000,247000
2025-06,user_0060,309000,221000,90000,204000,103000,644000,193000,250000,359000
2025-06,user_0063,192000,157000,46000,103000,61000,477000,111000,250000,186000
2025-06,user_0065,356000,323000,117000,228000,124000,841000,263000,250000,454000
2025-06,user_0066,256000,232000,84000,191000,114000,716000,205000,150000,245000
2025-06,user_0068,379000,330000,108000,240000,133000,977000,303000,174000,454000
2025-06,user_0069,269000,227000,97000,221000,183000,663000,219000,200000,335000
2025-06,user_0070,221000,168000,73000,127000,93000,545000,130000,138000,1085000
2025-06,user_0071,910000,550000,325000,563000,221000,1214000,177000,863000,649000
2025-06,user_0072,691000,563000,317000,688000,200000,1471000,139000,760000,772000
2025-06,user_0073,494000,274000,216000,557000,165000,1076000,112000,726000,517000
2025-06,user_0074,557000,353000,227000,551000,324000,1167000,144000,773000,756000
2025-06,user_0075,1179000,586000,581000,1224000,548000,2372000,301000,2072000,1313000
2025-06,user_0076,1115000,667000,437000,898000,398000,2129000,255000,1148000,1186000
2025-06,user_0077,1051000,574000,330000,1010000,498000,1900000,198000,1326000,875000
2025-06,user_0079,763000,1522000,310000,631000,303000,1306000,154000,751000,621000
2025-06,user_0080,867000,632000,384000,967000,465000,1897000,200000,996000,859000
2025-06,user_0081,836000,544000,288000,818000,275000,1730000,206000,862000,976000
2025-06,user_0082,766000,535000,306000,750000,426000,1800000,220000,1013000,779000
2025-06,user_0085,732000,383000,338000,775000,389000,1681000,182000,1346000,759000
2025-06,user_0086,1209000,812000,471000,1081000,372000,2506000,313000,1891000,1190000
2025-06,user_0087,704000,469000,211000,564000,265000,1243000,158000,860000,735000
2025-06,user_0088,1025000,705000,487000,1422000,597000,2576000,269000,1924000,1407000
2025-06,user_0089,1048000,712000,502000,1062000,624000,2115000,263000,1437000,1278000
2025-06,user_0091,475000,276000,160000,457000,208000,829000,113000,517000,539000
2025-06,user_0092,1008000,521000,314000,825000,455000,1998000,251000,1062000,1078000
2025-06,user_0094,939000,724000,357000,1029000,572000,2414000,219000,1359000,955000
2025-06,user_0095,816000,594000,311000,928000,397000,2708000,202000,962000,993000
2025-06,user_0096,1048000,690000,417000,1087000,359000,1991000,321000,1980000,1063000
2025-06,user_0097,1211000,804000,496000,1006000,512000,1878000,221000,1517000,976000
2025-06,user_0098,1470000,766000,505000,1378000,550000,2163000,258000,1465000,1143000
2025-06,user_0099,1134000,657000,484000,1199000,476000,2332000,253000,1273000,1205000
2025-06,user_0100,936000,755000,339000,882000,433000,2020000,238000,3464000,1005000
2025-06,user_0101,417000,269000,217000,514000,200000,975000,129000,589000,450000
2025-06,user_0102,610000,464000,256000,680000,363000,1511000,193000,853000,758000
2025-06,user_0103,744000,497000,258000,742000,310000,1507000,177000,863000,609000
2025-06,user_0104,675000,397000,284000,791000,273000,1646000,190000,3315000,855000
2025-06,user_0105,1027000,487000,390000,899000,339000,1790000,253000,1760000,1089000
2025-06,user_0106,762000,364000,218000,517000,336000,1300000,166000,803000,718000
2025-06,user_0107,798000,570000,317000,819000,224000,1934000,196000,939000,880000
2025-06,user_0108,716000,553000,292000,860000,307000,1278000,153000,831000,700000
2025-06,user_0109,764000,477000,347000,896000,403000,1693000,236000,1233000,1045000
2025-06,user_0110,824000,601000,402000,777000,313000,1830000,209000,1069000,959000
2025-06,user_0111,960000,570000,365000,1006000,556000,1923000,266000,1231000,985000
2025-06,user_0113,1014000,622000,326000,796000,255000,1768000,168000,1107000,711000
2025-06,user_0114,444000,231000,161000,371000,193000,838000,98000,438000,335000
2025-06,user_0115,656000,421000,230000,590000,252000,1400000,133000,882000,716000
2025-06,user_0117,441000,329000,185000,403000,188000,1050000,116000,444000,491000
2025-06,user_0119,1099000,688000,348000,895000,303000,1755000,187000,1020000,806000
2025-06,user_0120,1098000,604000,450000,848000,538000,1840000,284000,1106000,929000
2025-06,user_0122,803000,1669000,366000,835000,397000,1935000,227000,842000,1030000
2025-06,user_0124,600000,339000,227000,675000,286000,1552000,184000,944000,643000
2025-06,user_0125,757000,545000,374000,715000,357000,1924000,236000,994000,966000
2025-06,user_0126,1034000,709000,504000,1046000,444000,1996000,292000,1313000,1063000
2025-06,user_0127,1119000,679000,537000,1242000,537000,2486000,252000,2075000,1321000
2025-06,user_0128,1336000,907000,519000,1162000,759000,2789000,297000,1944000,1337000
2025-06,user_0129,545000,367000,185000,559000,291000,1215000,128000,647000,491000
2025-06,user_0130,961000,635000,488000,1170000,551000,2641000,297000,2045000,1380000
2025-06,user_0131,1307000,756000,471000,1008000,331000,2307000,247000,1345000,1200000
2025-06,user_0132,1011000,651000,625000,1481000,666000,3029000,293000,2363000,1597000
2025-06,user_0133,843000,457000,309000,624000,223000,1560000,168000,850000,573000
2025-06,user_0134,1033000,588000,309000,699000,441000,2003000,219000,910000,753000
2025-06,user_0136,496000,416000,229000,501000,270000,1143000,146000,745000,519000
2025-06,user_0138,458000,359000,218000,410000,237000,936000,135000,549000,501000
2025-06,user_0139,554000,317000,238000,598000,306000,1401000,141000,957000,1197000
2025-06,user_0140,845000,556000,409000,894000,480000,1720000,227000,1106000,977000
2025-06,user_0141,4024000,1579000,857000,3208000,1530000,4674000,1428000,2744000,2070000
2025-06,user_0142,447000,283000,157000,536000,249000,983000,280000,529000,366000
2025-06,user_0145,711000,425000,270000,753000,424000,1295000,389000,618000,434000
2025-06,user_0146,957000,671000,489000,1077000,574000,1992000,700000,1312000,746000
2025-06,user_0147,617000,339000,232000,676000,369000,1067000,447000,713000,567000
2025-06,user_0148,548000,331000,273000,763000,209000,1058000,393000,2621000,501000
2025-06,user_0150,408000,231000,182000,499000,151000,742000,283000,446000,271000
2025-06,user_0155,452000,257000,176000,466000,292000,963000,318000,472000,407000
2025-06,user_0156,1162000,657000,524000,1491000,759000,2489000,785000,3781000,961000
2025-06,user_0157,271000,111000,117000,367000,192000,505000,182000,380000,266000
