user_id,input_month_1,input_month_2,input_month_3,target_month,normalization_base,split,input_m1_makanan,input_m1_makanan_income_ratio,input_m1_transportasi,input_m1_transportasi_income_ratio,input_m1_belanja,input_m1_belanja_income_ratio,input_m1_tagihan,input_m1_tagihan_income_ratio,input_m1_hiburan,input_m1_hiburan_income_ratio,input_m1_kesehatan,input_m1_kesehatan_income_ratio,input_m1_pendidikan,input_m1_pendidikan_income_ratio,input_m1_kos_sewa,input_m1_kos_sewa_income_ratio,input_m1_lainnya,input_m1_lainnya_income_ratio,input_m2_makanan,input_m2_makanan_income_ratio,input_m2_transportasi,input_m2_transportasi_income_ratio,input_m2_belanja,input_m2_belanja_income_ratio,input_m2_tagihan,input_m2_tagihan_income_ratio,input_m2_hiburan,input_m2_hiburan_income_ratio,input_m2_kesehatan,input_m2_kesehatan_income_ratio,input_m2_pendidikan,input_m2_pendidikan_income_ratio,input_m2_kos_sewa,input_m2_kos_sewa_income_ratio,input_m2_lainnya,input_m2_lainnya_income_ratio,input_m3_makanan,input_m3_makanan_income_ratio,input_m3_transportasi,input_m3_transportasi_income_ratio,input_m3_belanja,input_m3_belanja_income_ratio,input_m3_tagihan,input_m3_tagihan_income_ratio,input_m3_hiburan,input_m3_hiburan_income_ratio,input_m3_kesehatan,input_m3_kesehatan_income_ratio,input_m3_pendidikan,input_m3_pendidikan_income_ratio,input_m3_kos_sewa,input_m3_kos_sewa_income_ratio,input_m3_lainnya,input_m3_lainnya_income_ratio,target_makanan,target_makanan_income_ratio,target_transportasi,target_transportasi_income_ratio,target_belanja,target_belanja_income_ratio,target_tagihan,target_tagihan_income_ratio,target_hiburan,target_hiburan_income_ratio,target_kesehatan,target_kesehatan_income_ratio,target_pendidikan,target_pendidikan_income_ratio,target_kos_sewa,target_kos_sewa_income_ratio,target_lainnya,target_lainnya_income_ratio
user_0003,2025-06,2025-07,2025-08,2025-09,9000000,demo_holdout,1851000,0.20566667,535000,0.05944444,775000,0.08611111,736000,0.08177778,351000,0.039,312000,0.03466667,533000,0.05922222,882000,0.098,423000,0.047,1182000,0.13133333,1175000,0.13055556,726000,0.08066667,799000,0.08877778,453000,0.05033333,274000,0.03044444,476000,0.05288889,770000,0.08555556,370000,0.04111111,1496000,0.16622222,1247000,0.13855556,654000,0.07266667,746000,0.08288889,375000,0.04166667,310000,0.03444444,529000,0.05877778,832000,0.09244444,407000,0.04522222,759000,0.08433333,369000,0.041,1935000,0.215,495000,0.055,198000,0.022,184000,0.02044444,250000,0.02777778,419000,0.04655556,206000,0.02288889
user_0003,2025-07,2025-08,2025-09,2025-10,9000000,demo_holdout,1182000,0.13133333,1175000,0.13055556,726000,0.08066667,799000,0.08877778,453000,0.05033333,274000,0.03044444,476000,0.05288889,770000,0.08555556,370000,0.04111111,1496000,0.16622222,1247000,0.13855556,654000,0.07266667,746000,0.08288889,375000,0.04166667,310000,0.03444444,529000,0.05877778,832000,0.09244444,407000,0.04522222,759000,0.08433333,369000,0.041,1935000,0.215,495000,0.055,198000,0.022,184000,0.02044444,250000,0.02777778,419000,0.04655556,206000,0.02288889,824000,0.09155556,317000,0.03522222,1849000,0.20544444,402000,0.04466667,211000,0.02344444,193000,0.02144444,245000,0.02722222,558000,0.062,272000,0.03022222
user_0003,2025-08,2025-09,2025-10,2025-11,9000000,demo_holdout,1496000,0.16622222,1247000,0.13855556,654000,0.07266667,746000,0.08288889,375000,0.04166667,310000,0.03444444,529000,0.05877778,832000,0.09244444,407000,0.04522222,759000,0.08433333,369000,0.041,1935000,0.215,495000,0.055,198000,0.022,184000,0.02044444,250000,0.02777778,419000,0.04655556,206000,0.02288889,824000,0.09155556,317000,0.03522222,1849000,0.20544444,402000,0.04466667,211000,0.02344444,193000,0.02144444,245000,0.02722222,558000,0.062,272000,0.03022222,1227000,0.13633333,317000,0.03522222,417000,0.04633333,360000,0.04,262000,0.02911111,179000,0.01988889,292000,0.03244444,424000,0.04711111,229000,0.02544444
user_0003,2025-09,2025-10,2025-11,2025-12,9000000,demo_holdout,759000,0.08433333,369000,0.041,1935000,0.215,495000,0.055,198000,0.022,184000,0.02044444,250000,0.02777778,419000,0.04655556,206000,0.02288889,824000,0.09155556,317000,0.03522222,1849000,0.20544444,402000,0.04466667,211000,0.02344444,193000,0.02144444,245000,0.02722222,558000,0.062,272000,0.03022222,1227000,0.13633333,317000,0.03522222,417000,0.04633333,360000,0.04,262000,0.02911111,179000,0.01988889,292000,0.03244444,424000,0.04711111,229000,0.02544444,1355000,0.15055556,1492000,0.16577778,942000,0.10466667,840000,0.09333333,519000,0.05766667,309000,0.03433333,469000,0.05211111,1022000,0.11355556,491000,0.05455556
user_0003,2025-10,2025-11,2025-12,2026-01,9000000,demo_holdout,824000,0.09155556,317000,0.03522222,1849000,0.20544444,402000,0.04466667,211000,0.02344444,193000,0.02144444,245000,0.02722222,558000,0.062,272000,0.03022222,1227000,0.13633333,317000,0.03522222,417000,0.04633333,360000,0.04,262000,0.02911111,179000,0.01988889,292000,0.03244444,424000,0.04711111,229000,0.02544444,1355000,0.15055556,1492000,0.16577778,942000,0.10466667,840000,0.09333333,519000,0.05766667,309000,0.03433333,469000,0.05211111,1022000,0.11355556,491000,0.05455556,1926000,0.214,1504000,0.16711111,949000,0.10544444,911000,0.10122222,501000,0.05566667,465000,0.05166667,559000,0.06211111,1164000,0.12933333,593000,0.06588889
user_0003,2025-11,2025-12,2026-01,2026-02,9000000,demo_holdout,1227000,0.13633333,317000,0.03522222,417000,0.04633333,360000,0.04,262000,0.02911111,179000,0.01988889,292000,0.03244444,424000,0.04711111,229000,0.02544444,1355000,0.15055556,1492000,0.16577778,942000,0.10466667,840000,0.09333333,519000,0.05766667,309000,0.03433333,469000,0.05211111,1022000,0.11355556,491000,0.05455556,1926000,0.214,1504000,0.16711111,949000,0.10544444,911000,0.10122222,501000,0.05566667,465000,0.05166667,559000,0.06211111,1164000,0.12933333,593000,0.06588889,2247000,0.24966667,1622000,0.18022222,880000,0.09777778,1049000,0.11655556,608000,0.06755556,431000,0.04788889,787000,0.08744444,1359000,0.151,587000,0.06522222
user_0003,2025-12,2026-01,2026-02,2026-03,9000000,demo_holdout,1355000,0.15055556,1492000,0.16577778,942000,0.10466667,840000,0.09333333,519000,0.05766667,309000,0.03433333,469000,0.05211111,1022000,0.11355556,491000,0.05455556,1926000,0.214,1504000,0.16711111,949000,0.10544444,911000,0.10122222,501000,0.05566667,465000,0.05166667,559000,0.06211111,1164000,0.12933333,593000,0.06588889,2247000,0.24966667,1622000,0.18022222,880000,0.09777778,1049000,0.11655556,608000,0.06755556,431000,0.04788889,787000,0.08744444,1359000,0.151,587000,0.06522222,1701000,0.189,661000,0.07344444,789000,0.08766667,915000,0.10166667,1414000,0.15711111,269000,0.02988889,458000,0.05088889,873000,0.097,359000,0.03988889
user_0003,2026-01,2026-02,2026-03,2026-04,9000000,demo_holdout,1926000,0.214,1504000,0.16711111,949000,0.10544444,911000,0.10122222,501000,0.05566667,465000,0.05166667,559000,0.06211111,1164000,0.12933333,593000,0.06588889,2247000,0.24966667,1622000,0.18022222,880000,0.09777778,1049000,0.11655556,608000,0.06755556,431000,0.04788889,787000,0.08744444,1359000,0.151,587000,0.06522222,1701000,0.189,661000,0.07344444,789000,0.08766667,915000,0.10166667,1414000,0.15711111,269000,0.02988889,458000,0.05088889,873000,0.097,359000,0.03988889,1634000,0.18155556,584000,0.06488889,738000,0.082,983000,0.10922222,1694000,0.18822222,355000,0.03944444,469000,0.05211111,836000,0.09288889,480000,0.05333333
user_0003,2026-02,2026-03,2026-04,2026-05,9000000,demo_holdout,2247000,0.24966667,1622000,0.18022222,880000,0.09777778,1049000,0.11655556,608000,0.06755556,431000,0.04788889,787000,0.08744444,1359000,0.151,587000,0.06522222,1701000,0.189,661000,0.07344444,789000,0.08766667,915000,0.10166667,1414000,0.15711111,269000,0.02988889,458000,0.05088889,873000,0.097,359000,0.03988889,1634000,0.18155556,584000,0.06488889,738000,0.082,983000,0.10922222,1694000,0.18822222,355000,0.03944444,469000,0.05211111,836000,0.09288889,480000,0.05333333,1658000,0.18422222,848000,0.09422222,2606000,0.28955556,1028000,0.11422222,608000,0.06755556,415000,0.04611111,707000,0.07855556,1133000,0.12588889,450000,0.05
user_0005,2025-06,2025-07,2025-08,2025-09,2250000,train,472000,0.20977778,258000,0.11466667,218000,0.09688889,100000,0.04444444,1004000,0.44622222,63000,0.028,130000,0.05777778,130000,0.05777778,75000,0.03333333,425000,0.18888889,200000,0.08888889,190000,0.08444444,250000,0.11111111,134000,0.05955556,61000,0.02711111,157000,0.06977778,117000,0.052,66000,0.02933333,490000,0.21777778,278000,0.12355556,1565000,0.69555556,200000,0.08888889,184000,0.08177778,70000,0.03111111,176000,0.07822222,134000,0.05955556,83000,0.03688889,403000,0.17911111,192000,0.08533333,206000,0.09155556,250000,0.11111111,156000,0.06933333,50000,0.02222222,147000,0.06533333,125000,0.05555556,81000,0.036
