budget_id,user_id,month,category,allocated_amount
bdg_user_0001_202605_makanan,user_0001,2026-05,makanan,405000
bdg_user_0001_202605_transportasi,user_0001,2026-05,transportasi,185000
bdg_user_0001_202605_belanja,user_0001,2026-05,belanja,155000
bdg_user_0001_202605_tagihan,user_0001,2026-05,tagihan,90000
bdg_user_0001_202605_hiburan,user_0001,2026-05,hiburan,130000
bdg_user_0001_202605_kesehatan,user_0001,2026-05,kesehatan,50000
bdg_user_0001_202605_pendidikan,user_0001,2026-05,pendidikan,115000
bdg_user_0001_202605_kos_sewa,user_0001,2026-05,kos_sewa,105000
bdg_user_0001_202605_lainnya,user_0001,2026-05,lainnya,65000
bdg_user_0002_202604_makanan,user_0002,2026-04,makanan,1330000
bdg_user_0002_202604_transportasi,user_0002,2026-04,transportasi,695000
bdg_user_0002_202604_belanja,user_0002,2026-04,belanja,745000
bdg_user_0002_202604_tagihan,user_0002,2026-04,tagihan,800000
bdg_user_0002_202604_hiburan,user_0002,2026-04,hiburan,480000
bdg_user_0002_202604_kesehatan,user_0002,2026-04,kesehatan,265000
bdg_user_0002_202604_pendidikan,user_0002,2026-04,pendidikan,160000
bdg_user_0002_202604_kos_sewa,user_0002,2026-04,kos_sewa,640000
bdg_user_0002_202604_lainnya,user_0002,2026-04,lainnya,215000
bdg_user_0002_202605_makanan,user_0002,2026-05,makanan,1330000
bdg_user_0002_202605_transportasi,user_0002,2026-05,transportasi,695000
bdg_user_0002_202605_belanja,user_0002,2026-05,belanja,745000
bdg_user_0002_202605_tagihan,user_0002,2026-05,tagihan,800000
bdg_user_0002_202605_hiburan,user_0002,2026-05,hiburan,480000
bdg_user_0002_202605_kesehatan,user_0002,2026-05,kesehatan,265000
bdg_user_0002_202605_pendidikan,user_0002,2026-05,pendidikan,160000
bdg_user_0002_202605_kos_sewa,user_0002,2026-05,kos_sewa,640000
bdg_user_0002_202605_lainnya,user_0002,2026-05,lainnya,215000
bdg_user_0003_202506_makanan,user_0003,2025-06,makanan,1555000
bdg_user_0003_202506_transportasi,user_0003,2025-06,transportasi,650000
bdg_user_0003_202506_belanja,user_0003,2025-06,belanja,840000
bdg_user_0003_202506_tagihan,user_0003,2025-06,tagihan,840000
bdg_user_0003_202506_hiburan,user_0003,2025-06,hiburan,520000
bdg_user_0003_202506_kesehatan,user_0003,2025-06,kesehatan,325000
bdg_user_0003_202506_pendidikan,user_0003,2025-06,pendidikan,520000
bdg_user_0003_202506_kos_sewa,user_0003,2025-06,kos_sewa,905000
bdg_user_0003_202506_lainnya,user_0003,2025-06,lainnya,325000
bdg_user_0003_202507_makanan,user_0003,2025-07,makanan,1065000
bdg_user_0003_202507_transportasi,user_0003,2025-07,transportasi,445000
bdg_user_0003_202507_belanja,user_0003,2025-07,belanja,575000
bdg_user_0003_202507_tagihan,user_0003,2025-07,tagihan,575000
bdg_user_0003_202507_hiburan,user_0003,2025-07,hiburan,355000
bdg_user_0003_202507_kesehatan,user_0003,2025-07,kesehatan,220000
bdg_user_0003_202507_pendidikan,user_0003,2025-07,pendidikan,355000
bdg_user_0003_202507_kos_sewa,user_0003,2025-07,kos_sewa,620000
bdg_user_0003_202507_lainnya,user_0003,2025-07,lainnya,220000
bdg_user_0003_202508_makanan,user_0003,2025-08,makanan,995000
bdg_user_0003_202508_transportasi,user_0003,2025-08,transportasi,415000
bdg_user_0003_202508_belanja,user_0003,2025-08,belanja,540000
bdg_user_0003_202508_tagihan,user_0003,2025-08,tagihan,540000
bdg_user_0003_202508_hiburan,user_0003,2025-08,hiburan,330000
bdg_user_0003_202508_kesehatan,user_0003,2025-08,kesehatan,205000
bdg_user_0003_202508_pendidikan,user_0003,2025-08,pendidikan,330000
bdg_user_0003_202508_kos_sewa,user_0003,2025-08,kos_sewa,580000
bdg_user_0003_202508_lainnya,user_0003,2025-08,lainnya,205000
bdg_user_0003_202509_makanan,user_0003,2025-09,makanan,1930000
bdg_user_0003_202509_transportasi,user_0003,2025-09,transportasi,805000
bdg_user_0003_202509_belanja,user_0003,2025-09,belanja,1045000
bdg_user_0003_202509_tagihan,user_0003,2025-09,tagihan,1045000
bdg_user_0003_202509_hiburan,user_0003,2025-09,hiburan,645000
bdg_user_0003_202509_kesehatan,user_0003,2025-09,kesehatan,400000
bdg_user_0003_202509_pendidikan,user_0003,2025-09,pendidikan,645000
bdg_user_0003_202509_kos_sewa,user_0003,2025-09,kos_sewa,1125000
bdg_user_0003_202509_lainnya,user_0003,2025-09,lainnya,400000
bdg_user_0003_202510_makanan,user_0003,2025-10,makanan,1645000
bdg_user_0003_202510_transportasi,user_0003,2025-10,transportasi,685000
bdg_user_0003_202510_belanja,user_0003,2025-10,belanja,890000
bdg_user_0003_202510_tagihan,user_0003,2025-10,tagihan,890000
bdg_user_0003_202510_hiburan,user_0003,2025-10,hiburan,550000
bdg_user_0003_202510_kesehatan,user_0003,2025-10,kesehatan,340000
